Location,Latitude,Longitude
Sultan,47.87,-121.8
Sumas,49,-122.27
Summit,47.17,-122.36
Summit View,47.13,-122.35
Summitview,46.6,-120.65
Sumner,47.22,-122.23
Sunday Lake,48.23,-122.27
Sunnyside,46.31,-120.01
Sunnyslope,47.49,-120.34
Suquamish,47.72,-122.58
Swede Heaven,48.28,-121.71
Tacoma,47.25,-122.46
Taholah,47.33,-124.27
Tampico,46.53,-120.87
Tanglewilde,47.05,-122.78
Tanner,47.48,-121.69
Tekoa,47.23,-117.07
Tenino,46.85,-122.86
Terrace Heights,46.6,-120.45
Thorp,47.07,-120.67
Three Lakes,47.94,-121.99
Tieton town,46.7,-120.76
Tokeland,46.71,-123.98
Toledo,46.44,-122.85
Tonasket,48.71,-119.44
Toppenish,46.38,-120.31
Torboy,48.68,-118.67
Touchet,46.04,-118.67
Town and Country,47.73,-117.42
Tracyton,47.61,-122.65
Trout Lake,46,-121.53
Tukwila,47.47,-122.27
Tumwater,46.99,-122.92
Twin Lakes,48.26,-118.36
Twisp town,48.36,-120.12
Union,47.35,-123.1
Union Gap,46.56,-120.49
Union Hill-Novelty Hill,47.68,-122.03
Uniontown town,46.54,-117.09
University Place,47.21,-122.55
Upper Elochoman,46.24,-123.32
Vader,46.4,-122.96
Valley,48.17,-117.72
Vancouver,45.64,-122.6
Vantage,46.95,-119.99
Vashon,47.41,-122.46
Vaughn,47.35,-122.78
Venersborg,45.79,-122.47
Verlot,48.1,-121.77
Waitsburg,46.27,-118.15
Walla Walla,46.07,-118.34
Walla Walla East,46.05,-118.3
Waller,47.2,-122.37
Wallula,46.08,-118.91
Walnut Grove,45.68,-122.61
Wapato,46.44,-120.42
Warden,46.97,-119.05
Warm Beach,48.16,-122.34
Washougal,45.58,-122.34
Washtucna town,46.75,-118.31
Waterville town,47.65,-120.07
Wauna,47.39,-122.67
Waverly town,47.34,-117.23
Wenatchee,47.43,-120.33
West Clarkston-Highland,46.4,-117.06
West Pasco,46.25,-119.18
West Richland,46.31,-119.4
West Side Highway,46.18,-122.92
Westport,46.89,-124.11
Whidbey Island Station,48.34,-122.66
White Center,47.51,-122.35
White Salmon,45.73,-121.49
White Swan,46.38,-120.74
Wilbur town,47.76,-118.71
Wilderness Rim,47.45,-121.77
Wilkeson town,47.1,-122.05
Willapa,46.68,-123.66
Wilson Creek town,47.42,-119.12
Winlock,46.49,-122.93
Winthrop town,48.47,-120.18
Wishram,45.66,-120.97
Wollochet,47.28,-122.58
Woodinville,47.76,-122.15
Woodland,45.92,-122.75
Woods Creek,47.88,-121.9
Woodway,47.79,-122.41
Yacolt town,45.87,-122.41
Yakima,46.59,-120.55
Yarrow Point town,47.65,-122.22
Yelm,46.94,-122.63
Zillah,46.41,-120.27
